Player,height,weight,collage
Dwayne Schintzius,216,117,University of Florida
Dennis Scott,203,103,Georgia Institute of Technology
Lionel Simmons,201,95,La Salle University
Tony Smith,201,95,
Felton Spencer,213,120,University of Louisville
Irving Thomas,203,102,Florida State University
Andy Toolson,198,95,Brigham Young University
Loy Vaught,206,104,University of Michigan
Stojko Vrankovic,218,117,
Jayson Williams,206,108,St. John's University
Kenny Williams,188,79,St. John's University
Scott Williams,208,104,University of North Carolina
Trevor Wilson,201,95,"University of California, Los Angeles"
Kennard Winchester,196,95,Averett University
Howard Wright,190,83,Austin Peay State University
A.J. Wynder,190,83,
Victor Alexander,206,120,Iowa State University
Kenny Anderson,183,76,Georgia Institute of Technology
Greg Anthony,183,79,"University of Nevada, Las Vegas"
Stacey Augmon,203,92,"University of Nevada, Las Vegas"
Isaac Austin,208,115,Arizona State University
Steve Bardo,196,86,University of Illinois at Urbana-Champaign
David Benoit,203,99,University of Alabama
Terrell Brandon,180,81,University of Oregon
Kevin Brooks,198,90,University of Louisiana at Lafayette
Myron Brown,190,81,Slippery Rock University of Pennsylvania
Randy Brown,203,99,University of Idaho
Demetrius Calip,185,74,University of Michigan
Pete Chilcutt,208,104,University of North Carolina
Marty Conlon,208,101,Providence College
Tom Copa,208,124,Marquette University
Chris Corchiani,183,83,North Carolina State University
Corey Crowder,196,97,Kentucky Wesleyan College
Dale Davis,211,104,Clemson University
Bison Dele,206,106,University of Arizona
Patrick Eddie,211,108,University of Mississippi
LeRon Ellis,208,95,St. John's University
Rick Fox,201,104,University of North Carolina
Chris Gatling,208,99,Old Dominion University
Paul Graham,198,90,Ohio University
Sean Green,196,95,Iona College
Carl Herrera,206,97,University of Houston
Donald Hodge,213,104,Temple University
Brian Howard,198,92,North Carolina State University
Cedric Hunter,183,81,University of Kansas
Mike Iuzzolino,178,79,Saint Francis University
Rich King,218,117,University of Nebraska
Doug Lee,196,90,Purdue University
Luc Longley,218,120,University of New Mexico
Kevin Lynch,196,88,University of Minnesota
Mark Macon,196,83,Temple University
Tharon Mayes,190,79,Florida State University
Rodney Monroe,190,83,North Carolina State University
Tracy Moore,193,90,University of Tulsa
Eric Murdock,185,86,Providence College
Dikembe Mutombo*,218,111,Georgetown University
Jimmy Oliver,196,92,Purdue University
Billy Owens,203,99,Syracuse University
Keith Owens,201,102,"University of California, Los Angeles"
Robert Pack,188,81,University of Southern California
Elliot Perry,183,68,University of Memphis
Bobby Phills,196,95,Southern University and A&M College
Mark Randall,203,106,University of Kansas
Stanley Roberts,213,129,Louisiana State University
Doug Smith,188,86,University of Minnesota
LaBradford Smith,203,97,Alcorn State University
Steve Smith,201,90,Michigan State University
Larry Stewart,203,99,Coppin State University
Derek Strong,203,99,Xavier University
Lamont Strothers,193,86,Christopher Newport University
Greg Sutton,188,77,Oral Roberts University
Carl Thomas,193,79,Eastern Michigan University
Charles Thomas,190,79,Eastern Michigan University
Stephen Thompson,193,83,Syracuse University
John Turner,203,111,Phillips University
Joao Vianna,206,97,
Eric Anderson,206,99,Indiana University
Anthony Avent,206,106,Seton Hall University
Jon Barry,193,88,Georgia Institute of Technology
Tony Bennett,183,79,University of Wisconsin-Green Bay
Alex Blackwell,198,113,Monmouth University
Ricky Blanton,201,97,Louisiana State University
Walter Bond,196,90,University of Minnesota
Dexter Cambridge,201,101,University of Texas at Austin
Doug Christie,198,90,Pepperdine University
Duane Cooper,185,83,University of Southern California
Joe Courtney,203,106,University of Southern Mississippi
John Crotty,185,83,University of Virginia
Radisav Curcic,208,124,
Lloyd Daniels,201,92,Mount San Antonio College
Hubert Davis,196,83,University of North Carolina
Todd Day,198,85,University of Arkansas
Richard Dumas,190,77,Northeastern State University
Pat Durham,201,95,Colorado State University
LaPhonso Ellis,203,108,University of Notre Dame
Matt Geiger,213,110,Georgia Institute of Technology
Litterial Green,185,83,University of Georgia
Tom Gugliotta,208,108,North Carolina State University
Jay Guidinger,208,115,University of Minnesota Duluth
Robert Horry,206,99,University of Alabama
Byron Houston,196,113,Oklahoma State University
Stephen Howard,206,102,DePaul University
Jim Jackson,198,99,Ohio State University
Keith Jennings,170,72,East Tennessee State University
Dave Johnson,201,95,Syracuse University
Thomas Jordan,208,99,Oklahoma State University
Adam Keefe,206,104,Stanford University
Christian Laettner,211,106,Duke University
Sam Mack,201,99,University of Houston
Don MacLean,208,106,"University of California, Los Angeles"
Marlon Maxey,203,113,University of Texas at El Paso
Lee Mayberry,185,78,University of Arkansas
Oliver Miller,206,127,University of Arkansas
Harold Miner,196,95,University of Southern California
Isaiah Morris,203,103,University of Arkansas
Alonzo Mourning*,208,108,Georgetown University
Tracy Murray,201,102,"University of California, Los Angeles"
Melvin Newbern,193,90,University of Minnesota
Shaquille O'Neal*,216,147,Louisiana State University
Matt Othick,188,74,University of Arizona
Doug Overton,190,86,La Salle University
Anthony Peeler,193,94,University of Missouri
Brent Price,185,74,University of Oklahoma
Anthony Pullard,208,111,McNeese State University
Sean Rooks,208,113,University of Arizona
Malik Sealy,203,86,St. John's University
Chris Smith,208,104,University of Pittsburgh
Reggie Smith,208,108,Texas Christian University
Andre Spencer,198,95,Northern Arizona University
Elmore Spencer,213,122,"University of Nevada, Las Vegas"
Latrell Sprewell,196,86,University of Alabama
Barry Stevens,196,88,Iowa State University
Bryant Stith,196,94,University of Virginia
Gundars Vetra,198,88,
Clarence Weatherspoon,198,108,University of Southern Mississippi
Marcus Webb,206,115,University of Alabama
Robert Werdann,211,113,St. John's University
Corey Williams,188,86,Oklahoma State University
Lorenzo Williams,206,90,Stetson University
Walt Williams,193,88,Indiana University
Randy Woods,178,83,La Salle University
Gary Alexander,201,108,University of South Florida
Vin Baker,211,105,University of Hartford
Corie Blount,206,108,University of Cincinnati
Shawn Bradley,229,106,Brigham Young University
P.J. Brown,229,106,
Evers Burns,203,117,University of Maryland
Scott Burrell,201,98,University of Connecticut
Mitchell Butler,188,77,University of Memphis
Sam Cassell,190,83,Florida State University
Calbert Cheaney,201,94,Indiana University
Michael Curry,196,95,Georgia Southern University
Antonio Davis,206,97,University of Texas at El Paso
Brian Davis,190,81,University of Maryland
Terry Dehere,188,86,Seton Hall University
Dell Demps,190,92,University of the Pacific
Acie Earl,208,108,University of Iowa
Bill Edwards,203,97,Wright State University
Doug Edwards,201,99,Florida State University
Harold Ellis,196,90,Morehouse College
Alphonso Ford,185,86,Mississippi Valley State University
Chad Gallagher,208,115,Creighton University
Andrew Gaze,201,92,Seton Hall University
Ricky Grace,185,81,University of Oklahoma
Greg Graham,193,78,Indiana University
Josh Grant,206,101,University of Utah
Andres Guibert,208,102,
Geert Hammink,213,118,Louisiana State University
Anfernee Hardaway,201,88,University of Memphis
Lucious Harris,196,86,"California State University, Long Beach"
Antonio Harvey,211,102,Pfeiffer University
Scott Haskin,211,113,Oregon State University
Skeeter Henry,201,86,University of Oklahoma
Allan Houston,198,90,University of Tennessee
Lindsey Hunter,188,77,Jackson State University
Bobby Hurley,183,74,Duke University
Stanley Jackson,190,83,University of Alabama at Birmingham
Chris Jent,201,99,Ohio State University
Ervin Johnson,188,92,University of Nebraska
Popeye Jones,203,113,Murray State University
Adonis Jordan,180,77,University of Kansas
Reggie Jordan,193,88,New Mexico State University
Warren Kidd,206,106,Middle Tennessee State University
Chris King,203,97,Wake Forest University
Toni Kukoc,208,87,
George Lynch,203,98,University of North Carolina
Malcolm Mackey,206,112,Georgia Institute of Technology
Gerald Madkins,193,90,"University of California, Los Angeles"
Bob Martin,213,113,University of Minnesota
Jamal Mashburn,203,108,University of Kentucky
Darnell Mee,196,79,Western Kentucky University
Chris Mills,198,97,University of Arizona
Darren Morningstar,208,106,University of Pittsburgh
Gheorghe Muresan,231,137,
Bo Outlaw,203,95,University of Houston
Mike Peplowski,208,122,Michigan State University
Richard Petruska,208,117,"University of California, Los Angeles"
Dino Radja,211,102,
Isaiah Rider,196,97,"University of Nevada, Las Vegas"
Eric Riley,213,111,University of Michigan
James Robinson,198,95,"University of Nevada, Las Vegas"
Rodney Rogers,201,106,Wake Forest University
Bryon Russell,201,102,"California State University, Long Beach"
Kevin Thompson,211,117,North Carolina State University
Keith Tower,211,113,University of Notre Dame
Nick Van,211,113,
Rex Walters,193,86,University of Kansas
Chris Webber,206,111,University of Michigan
Matt Wenstrom,216,113,University of North Carolina
David Wesley,183,86,Baylor University
Chris Whitney,183,76,Clemson University
Aaron Williams,206,99,Xavier University
Luther Wright,218,122,Seton Hall University
Derrick Alston,211,102,Duquesne University
Darrell Armstrong,183,77,Fayetteville State University
Sergei Bazarevich,188,76,
Elmer Bennett,183,77,University of Notre Dame
James Blackwell,183,86,Dartmouth College
Tim Breaux,201,97,University of Wyoming
Chris Childs,190,88,Boise State University
Bill Curley,206,99,Boston College
Yinka Dare,213,120,George Washington University
Tony Dumas,198,86,University of Missouri-Kansas City
Howard Eisley,188,80,Boston College
Matt Fish,211,106,University of North Carolina at Wilmington
Brian Grant,206,115,Xavier University
Darrin Hancock,201,92,University of Kansas
Jerome Harmon,193,86,University of Louisville
Grant Hill,203,102,Duke University
Tom Hovasse,203,92,Pennsylvania State University
Juwan Howard,206,108,University of Michigan
Askia Jones,196,90,Kansas State University
Eddie Jones,208,102,"University of Nevada, Reno"
Jason Kidd,193,92,University of California
Antonio Lang,211,111,University of Arkansas
Ryan Lorthridge,193,86,Jackson State University
Donyell Marshall,206,98,University of Connecticut
Darrick Martin,180,77,"University of California, Los Angeles"
Jim McIlvaine,216,108,Marquette University
Aaron McKie,196,94,Temple University
Anthony Miller,206,102,Michigan State University
Greg Minor,198,95,University of Louisville
Eric Mobley,211,106,University of Pittsburgh
Eric Montross,213,122,University of North Carolina
Dwayne Morton,201,88,University of Louisville
Lamond Murray,201,107,University of California
Ivano Newbill,206,111,Georgia Institute of Technology
Julius Nwosu,208,115,Liberty University
Wesley Person,198,88,Auburn University
Derrick Phelps,193,82,University of North Carolina
Eric Piatkowski,201,97,University of Nebraska
Eldridge Recasner,190,86,University of Washington
Khalid Reeves,190,90,University of Arizona
Glenn Robinson,201,102,Purdue University
Carlos Rogers,211,99,Tennessee State University
Jalen Rose,203,95,University of Michigan
Clifford Rozier,211,111,University of Louisville
Trevor Ruffin,185,83,University of Hawaii
Dickey Simpkins,206,112,Providence College
Reggie Slater,201,97,University of Wyoming
Mark Strickland,206,95,Temple University
Aaron Swinson,196,104,Auburn University
Zan Tabak,213,111,
Brooks Thompson,193,87,Oklahoma State University
Anthony Tucker,203,99,Wake Forest University
B.J. Tyler,203,99,
Fred Vinson,193,86,Georgia Institute of Technology
Charlie Ward,188,86,Florida State University
Jamie Watson,201,86,University of South Carolina
Monty Williams,203,102,University of Notre Dame
Dontonio Wingfield,203,116,University of Cincinnati
Sharone Wright,211,117,Clemson University
Cory Alexander,185,83,University of Virginia
Jerome Allen,193,83,University of Pennsylvania
John Amaechi,208,122,Pennsylvania State University
Ashraf Amaya,203,104,Southern Illinois University
Brent Barry,198,83,Oregon State University
Corey Beck,185,86,University of Arkansas
Mario Bennett,198,106,Arizona State University
Travis Best,180,82,Georgia Institute of Technology
Melvin Booker,185,83,University of Missouri
Donnie Boyce,196,88,University of Colorado
Marques Bragg,203,104,Providence College
Junior Burrough,203,109,University of Virginia
Jason Caffey,203,115,University of Alabama
Chris Carr,196,93,Southern Illinois University
Randolph Childress,188,85,Wake Forest University
Robert Churchwell,198,88,Georgetown University
Charles Claxton,213,120,University of Georgia
John Coker,213,114,Boise State University
Rastko Cvetkovic,216,117,
Sasha Danilovic,196,90,
Andrew DeClercq,208,104,University of Florida
Tyus Edney,178,68,"University of California, Los Angeles"
Vincenzo Esposito,190,89,
Michael Finley,201,97,University of Wisconsin
Sherell Ford,201,95,University of Illinois at Chicago
Kevin Garnett,211,108,
Anthony Goldwire,185,82,University of Houston
Thomas Hamilton,218,149,University of Pittsburgh
Alvin Heggs,203,102,University of Texas at Austin
Alan Henderson,206,106,Indiana University
Fred Hoiberg,193,92,Iowa State University
Darryl Johnson,201,95,Syracuse University
Frankie King,185,83,Western Carolina University
Jimmy King,188,79,University of Tulsa
Voshon Lenard,193,92,University of Minnesota
Cedric Lewis,208,106,University of Maryland
Martin Lewis,196,95,Seward County Community College
Rich Manning,211,114,University of Washington
Donny Marshall,206,98,University of Connecticut
Cuonzo Martin,196,96,Purdue University
Clint McDaniel,193,81,University of Arkansas
Antonio McDyess,206,99,University of Alabama
Loren Meyer,208,116,Iowa State University
Lawrence Moten,196,83,Syracuse University
Todd Mundt,213,113,Delta State University
Howard Nathan,180,79,University of Louisiana at Monroe
Ed O'Bannon,203,100,"University of California, Los Angeles"
Greg Ostertag,218,127,University of Kansas
Cherokee Parks,196,95,Idaho State University
Theo Ratliff,208,102,University of Wyoming
Bryant Reeves,213,124,Oklahoma State University
Don Reid,203,113,Georgetown University
Terrence Rencher,190,83,University of Texas at Austin
Shawn Respert,185,88,Michigan State University
Lou Roe,201,99,University of Massachusetts Amherst
Stefano Rusconi,206,108,
Arvydas Sabonis*,221,126,
Joe Smith,213,106,University of Southern Colorado
Eric Snow,190,86,Michigan State University
Jerry Stackhouse,198,98,University of North Carolina
Damon Stoudamire,178,77,University of Arizona
Bob Sura,196,90,Florida State University
Larry Sykes,206,115,Xavier University
Kurt Thomas,206,104,Texas Christian University
Gary Trent,203,113,Ohio University
Logan Vander,203,97,University of Wisconsin-Green Bay
David Vaughn,211,99,Oral Roberts University
Rasheed Wallace,208,102,University of North Carolina
Jeff Webster,203,105,University of Oklahoma
Dwayne Whitfield,206,108,Jackson State University
Eric Williams,203,99,Providence College
Corliss Williamson,188,86,Oklahoma State University
George Zidek,213,113,"University of California, Los Angeles"
Shareef Abdur-Rahim,206,102,University of California
Ray Allen,203,99,Florida State University
Shandon Anderson,198,94,University of Georgia
Dexter Boney,193,83,"University of Nevada, Las Vegas"
Bruce Bowen,201,83,"California State University, Fullerton"
Mark Bradtke,208,120,
Marcus Brown,190,83,Murray State University
Kobe Bryant,198,96,
Marcus Camby,211,99,University of Massachusetts Amherst
Jimmy Carruth,208,120,Virginia Polytechnic Institute and State University
Erick Dampier,211,120,Mississippi State University
Ben Davis,206,108,University of Arizona
Emanual Davis,193,88,Delaware State University
Tony Delk,185,85,University of Kentucky
Aleksandar Djordjevic,188,89,
Nate Driggers,196,97,University of Montevallo
Brian Evans,203,99,Indiana University
Jamie Feick,206,115,Michigan State University
Derek Fisher,185,90,University of Arkansas at Little Rock
Todd Fuller,193,81,Pepperdine University
Dean Garrett,208,102,Indiana University
Reggie Geary,188,84,University of Arizona
Devin Gray,201,108,Clemson University
Evric Gray,201,106,"University of Nevada, Las Vegas"
Darvin Ham,201,99,Texas Tech University
Steve Hamer,213,111,University of Tennessee
Othella Harrington,206,106,Georgetown University
Michael Hawkins,183,80,Xavier University
Shane Heal,183,81,
Mark Hendrickson,206,99,Washington State University
Allen Iverson*,183,74,Georgetown University
Kerry Kittles,196,81,Villanova University
Travis Knight,213,106,University of Connecticut
Priest Lauderdale,224,147,Central State University
Randy Livingston,193,94,Louisiana State University
Horacio Llamas,211,129,Grand Canyon University
Matt Maloney,190,87,University of Pennsylvania
Stephon Marbury,188,81,Georgia Institute of Technology
Walter McCarty,208,104,University of Kentucky
Amal McCaskill,211,106,Marquette University
Jeff McInnis,193,86,University of North Carolina
Martin Muursepp,206,106,
Steve Nash,190,88,Santa Clara University
Ruben Nembhard,190,94,Weber State University
Gaylon Nickerson,190,86,Northwestern Oklahoma State University
Moochie Norris,185,79,University of West Florida
Jermaine O'Neal,211,102,
Ray Owes,206,101,University of Arizona
Vitaly Potapenko,208,127,Wright State University
Chris Robinson,196,90,Western Kentucky University
Roy Rogers,201,106,Wake Forest University
Malik Rose,201,113,Drexel University
Kevin Salvadori,213,104,University of North Carolina
Jason Sasser,201,102,Texas Tech University
Brent Scott,208,113,Rice University
James Scott,198,81,St. John's University
Shawnelle Scott,208,113,St. John's University
Stevin Smith,201,90,Michigan State University
Matt Steigenga,201,102,Michigan State University
Joe Stephens,201,95,University of Arkansas at Little Rock
Erick Strickland,190,95,University of Nebraska
Brett Szabo,211,104,Augustana College (SD)
Antoine Walker,193,86,Niagara University
Samaki Walker,206,108,University of Louisville
Ben Wallace,206,108,Virginia Union University
John Wallace,203,102,Syracuse University
Donald Whiteside,178,72,Northern Illinois University
Jerome Williams,206,93,Georgetown University
Lorenzen Wright,188,92,Colorado State University
Tariq Abdul-Wahad,198,101,San Jose State University
Derek Anderson,196,87,University of Kentucky
Chris Anstey,213,112,
Drew Barry,196,86,Georgia Institute of Technology
Tony Battie,211,104,Texas Tech University
Chauncey Billups,190,91,University of Colorado
Etdrick Bohannon,206,99,Auburn University at Montgomery
Keith Booth,198,102,University of Maryland
Rick Brunson,193,86,Temple University
Kelvin Cato,211,115,Iowa State University
Keith Closs,221,96,Central Connecticut State University
James Collins,193,88,Florida State University
James Cotton,201,90,University of Wyoming
Chris Crawford,206,106,Marquette University
Austin Croshere,206,106,Providence College
William Cunningham,211,113,Temple University
Antonio Daniels,193,88,Bowling Green State University
Tim Duncan,211,113,Wake Forest University
Tony Farmer,206,110,University of Nebraska
Danny Fortson,201,117,University of Cincinnati
Adonal Foyle,208,113,Colgate University
Lawrence Funderburke,206,104,Ohio State University
Chris Garner,178,70,University of Memphis
Kiwane Garris,188,83,University of Illinois at Urbana-Champaign
Ed Gray,190,95,University of California
Derek Grimm,206,104,University of Missouri
Reggie Hanson,203,88,University of Kentucky
Jerald Honeycutt,206,111,Tulane University
Troy Hudson,185,77,Southern Illinois University
Zydrunas Ilgauskas,221,107,
Bobby Jackson,185,83,University of Minnesota
Anthony Johnson,196,97,University of Portland
Dontae' Jones,203,99,Mississippi State University
Brevin Knight,178,78,Stanford University
Rusty LaRue,188,95,Wake Forest University
Jason Lawson,211,108,Villanova University
Michael McDonald,208,105,University of New Orleans
Tracy McGrady,203,95,
Ron Mercer,201,95,University of Kentucky
Marko Milic,198,106,
Jeff Nordgaard,201,102,University of Wisconsin-Green Bay
Charles O'Bannon,196,94,"University of California, Los Angeles"
Kevin Ollie,193,88,University of Connecticut
Anthony Parker,198,97,Bradley University
Scot Pollard,211,120,University of Kansas
Mark Pope,208,106,University of Kentucky
Rodrick Rhodes,198,102,University of Southern California
Shea Seals,196,95,University of Tulsa
God Shammgod,183,76,Providence College
Kebu Stewart,203,108,"California State University, Bakersfield"
Michael Stewart,208,104,University of California
Ed Stokes,213,119,University of Arizona
Johnny Taylor,206,99,University of Tennessee at Chattanooga
Maurice Taylor,206,117,University of Michigan
John Thomas,198,92,Marquette University
Tim Thomas,208,104,Villanova University
Keith Van,208,104,
Jacque Vaughn,185,86,University of Kansas
Eric Washington,193,86,University of Alabama
Bubba Wells,196,104,Austin Peay State University
DeJuan Wheat,183,74,University of Louisville
Alvin Williams,198,90,Drake University
Brandon Williams,198,97,Davidson College
Travis Williams,198,97,South Carolina State University
Peter Aluma,208,117,Liberty University
Toby Bailey,198,96,"University of California, Los Angeles"
LaMark Baker,185,79,Ohio State University
Corey Benjamin,198,90,Oregon State University
Mike Bibby,185,86,University of Arizona
Earl Boykins,165,61,Eastern Michigan University
Gerald Brown,198,86,Wayne State University
Cory Carr,190,95,Texas Tech University
Vince Carter,198,99,University of North Carolina
Keon Clark,211,99,"University of Nevada, Las Vegas"
Kornel David,206,106,
Ricky Davis,198,88,University of Iowa
Michael Dickerson,196,86,University of Arizona
Michael Doleac,211,118,University of Utah
Bryce Drew,188,83,Valparaiso University
Marlon Garnett,188,84,Santa Clara University
Pat Garrity,206,107,University of Notre Dame
Paul Grant,213,111,University of Wisconsin
Matt Harpring,201,104,Georgia Institute of Technology
Al Harrington,206,104,
J.R. Henderson,206,104,
Larry Hughes,196,83,Saint Louis University
Randell Jackson,188,86,"University of California, Los Angeles"
Sam Jacobson,193,97,University of Minnesota
Jerome James,213,136,Florida Agricultural and Mechanical University
Antawn Jamison,203,101,University of North Carolina
Damon Jones,190,83,University of Houston
Jonathan Kerner,211,111,East Carolina University
Gerard King,183,79,University of Charleston
Raef LaFrentz,211,108,University of Kansas
Rashard Lewis,198,90,La Salle University
Felipe Lopez,196,90,St. John's University
Tyronn Lue,183,79,University of Nebraska
Sean Marks,208,113,University of California
Kelly McCarty,201,90,University of Southern Mississippi
Jelani McCoy,208,111,"University of California, Los Angeles"
Roshown McLeod,203,100,Duke University
Brad Miller,211,110,Purdue University
Cuttino Mobley,193,86,University of Rhode Island
Nazr Mohammed,208,100,University of Kentucky
Mikki Moore,211,102,University of Nebraska
Makhtar N'Diaye,203,111,University of North Carolina
Tyrone Nesby,198,102,"University of Nevada, Las Vegas"
Rasho Nesterovic,213,112,
Dirk Nowitzki,213,111,
Michael Olowokandi,213,122,University of the Pacific
Andrae Patterson,206,107,Indiana University
Ruben Patterson,196,101,University of Cincinnati
Paul Pierce,201,106,University of Kansas
Casey Shaw,211,117,University of Toledo
Jeffrey Sheppard,190,86,University of Kentucky
Miles Simon,190,91,University of Arizona
Alvin Sims,193,106,University of Louisville
Brian Skinner,206,115,Baylor University
Ryan Stack,211,97,University of South Carolina
Vladimir Stepania,213,107,
Peja Stojakovic,206,99,
Bruno Sundov,218,99,
Robert Traylor,203,128,University of Michigan
Bonzi Wells,196,95,Ball State University
Tyson Wheeler,178,74,University of Rhode Island
Jahidi White,206,131,Georgetown University
Jason Williams,206,108,St. John's University
Shammond Williams,185,91,University of North Carolina
Trevor Winter,213,124,University of Minnesota
Korleone Young,201,96,
Rafer Alston,188,77,"California State University, Fresno"
Chucky Atkins,180,72,University of South Florida
William Avery,188,89,Duke University
Jonathan Bender,211,91,
Calvin Booth,211,104,Pennsylvania State University
Lazaro Borrell,203,99,
Cal Bowdler,208,111,Old Dominion University
Ryan Bowen,201,97,University of Iowa
Ira Bowman,196,88,University of Pennsylvania
A.J. Bramlett,196,88,
Elton Brand,203,124,Duke University
Greg Buckner,193,95,Clemson University
Rodney Buford,196,85,Creighton University
Anthony Carter,185,86,University of Hawaii
John Celestand,193,80,Villanova University
Vonteego Cummings,190,83,University of Pittsburgh
Baron Davis,190,94,"University of California, Los Angeles"
Derrick Dial,193,83,Eastern Michigan University
Obinna Ekezie,206,122,University of Maryland
Evan Eschmeyer,211,115,Northwestern University
Jeff Foster,211,107,Texas State University
Steve Francis,190,88,University of Maryland
Devean George,203,99,Augsburg College
Dion Glover,196,103,Georgia Institute of Technology
Adrian Griffin,196,98,Seton Hall University
Richard Hamilton,198,83,University of Connecticut
Chris Herren,188,89,"California State University, Fresno"
Derek Hood,203,100,University of Arkansas
Rick Hughes,196,97,Loyola University of Chicago
Jermaine Jackson,193,92,University of Detroit Mercy
Tim James,201,96,University of Miami
Harold Jamison,203,117,Clemson University
DeMarco Johnson,193,83,Pepperdine University
Jumaine Jones,203,98,University of Georgia
Lari Ketner,206,125,University of Massachusetts Amherst
Trajan Langdon,190,89,Duke University
Quincy Lewis,201,97,University of Minnesota
Todd MacCulloch,213,127,University of Washington
Corey Maggette,198,98,Duke University
Shawn Marion,201,99,"University of Nevada, Las Vegas"
Andre Miller,206,102,Michigan State University
Jason Miskiri,188,79,George Mason University
Lamar Odom,208,99,University of Rhode Island
Scott Padgett,206,108,University of Kentucky
Milt Palacio,190,88,Colorado State University
James Posey,203,97,Xavier University
Laron Profit,196,92,University of Maryland
Aleksandar Radojevic,221,113,Barton County Community College
Ryan Robertson,196,86,University of Kansas
Eddie Robinson,203,95,University of Central Oklahoma
Michael Ruffin,206,111,University of Tulsa
Wally Szczerbiak,198,95,George Washington University
Jason Terry,188,83,University of Arizona
Jamel Thomas,198,97,Providence College
Kenny Thomas,201,118,University of New Mexico
Mirsad Turkcan,206,107,
Wayne Turner,188,86,University of Kentucky
Dedric Willoughby,190,81,Iowa State University
Metta World,190,81,
Tim Young,213,99,Stanford University
Courtney Alexander,185,83,University of Virginia
Dalibor Bagaric,216,115,
Erick Barkley,185,80,St. John's University
Raja Bell,196,92,Florida International University
Mark Blount,213,104,University of Pittsburgh
Brian Cardinal,203,111,Purdue University
Mateen Cleaves,188,92,Michigan State University
Jason Collier,193,88,Florida State University
Sean Colson,183,79,University of North Carolina at Charlotte
Jamal Crawford,196,90,University of Michigan
Keyon Dooling,190,88,University of Missouri
Khalid El-Amin,178,90,University of Connecticut
Marcus Fizer,206,118,Iowa State University
Ruben Garces,206,111,Providence College
Eddie Gill,183,86,Weber State University
Steve Goodrich,208,99,Princeton University
A.J. Guyton,208,99,
Zendon Hamilton,211,113,St. John's University
Jason Hart,190,83,Syracuse University
Donnell Harvey,203,99,University of Florida
Eddie House,185,81,Arizona State University
Marc Jackson,185,81,St. John's University
Stephen Jackson,190,83,University of Alabama at Birmingham
DerMarr Johnson,193,83,Pepperdine University
Garth Joseph,218,142,College of Saint Rose
Dan Langhi,211,99,Vanderbilt University
Art Long,206,113,University of Cincinnati
Mark Madsen,206,108,Stanford University
Jamaal Magloire,211,117,University of Kentucky
Kenyon Martin,206,106,University of Cincinnati
Desmond Mason,201,101,Oklahoma State University
Dan McClintock,213,122,Northern Arizona University
Paul McPherson,193,95,DePaul University
Stanislav Medvedenko,208,113,
Chris Mihm,213,120,University of Texas at Austin
Darius Miles,206,95,
Mike Miller,203,98,University of Florida
Jerome Moiso,208,106,"University of California, Los Angeles"
Hanno Mottola,211,112,University of Utah
Mamadou N'Diaye,203,111,University of North Carolina
Lee Nailon,206,107,Texas Christian University
Eduardo Najera,203,108,University of Oklahoma
Ira Newble,201,99,Miami University
Olumide Oyedeji,208,108,
Andy Panko,206,100,Lebanon Valley College
Mike Penberthy,190,83,Master's College
Morris Peterson,201,98,Michigan State University
Chris Porter,201,98,Auburn University
Lavor Postell,196,97,St. John's University
Joel Przybilla,216,115,University of Minnesota
Michael Redd,198,99,Ohio State University
Quentin Richardson,198,101,DePaul University
Terrance Roberson,201,97,"California State University, Fresno"
Jamal Robinson,198,95,"University of Nevada, Las Vegas"
Soumaila Samake,213,104,
Pepe Sanchez,193,88,Temple University
Daniel Santiago,216,116,Saint Vincent College
Jabari Smith,211,113,Louisiana State University
Mike Smith,208,102,Brigham Young University
DeShawn Stevenson,196,95,
Stromile Swift,206,102,Louisiana State University
Dragan Tarlac,208,117,
Jake Tsakalidis,218,129,
Hedo Turkoglu,208,99,
David Vanterpool,196,90,St. Bonaventure University
Jake Voskuhl,211,111,University of Connecticut
Ruben Wolkowyski,208,122,
Wang Zhizhi,213,115,
Malik Allen,208,115,Villanova University
Chris Andersen,208,111,Blinn College
Gilbert Arenas,190,86,University of Arizona
Brandon Armstrong,196,85,Pepperdine University
Carlos Arroyo,188,91,Florida International University
Mengke Bateer,211,131,
Shane Battier,203,99,Duke University
Charlie Bell,190,90,Michigan State University
Ruben Boumtje-Boumtje,213,116,Georgetown University
Michael Bradley,208,111,Villanova University
Jamison Brewer,193,83,Auburn University
Primoz Brezec,218,114,
Damone Brown,188,79,Humboldt State University
Ernest Brown,213,110,Indian Hills Community College
Kedrick Brown,201,100,Okaloosa-Walton Community College
Kwame Brown,211,122,
Tierre Brown,188,85,McNeese State University
Tyson Chandler,216,108,
Speedy Claxton,180,75,Hofstra University
Jarron Collins,193,88,Florida State University
Jason Collins,193,88,Florida State University
Joe Crispin,183,83,Pennsylvania State University
Eddy Curry,213,133,
Samuel Dalembert,211,115,Seton Hall University
DeSagana Diop,213,136,
Predrag Drobnjak,211,122,
Maurice Evans,196,99,University of Texas at Austin
Isaac Fontaine,193,95,Washington State University
Alton Ford,185,86,Mississippi Valley State University
Joseph Forte,193,87,University of North Carolina
Antonis Fotsis,208,99,
Tremaine Fowlkes,203,99,"California State University, Fresno"
Pau Gasol,213,113,
Eddie Griffin,208,99,Seton Hall University
Tang Hamilton,203,99,Mississippi State University
Trenton Hassell,196,90,Austin Peay State University
