Player,height,weight,collage
Maurice Stokes*,201,105,Saint Francis University
Jack Twyman*,198,95,University of Cincinnati
Bob Williams,198,104,Florida Agricultural and Mechanical University
Forest Able,190,81,Western Kentucky University
Bob Armstrong,203,99,Michigan State University
John Barber,198,95,"California State University, Los Angeles"
Gary Bergen,203,95,University of Utah
Al Bianchi,190,83,Bowling Green State University
Bob Burrow,201,103,University of Kentucky
Si Green,188,83,Duquesne University
Richie Guerin*,193,88,Iona College
Cliff Hagan*,193,95,University of Kentucky
Tom Heinsohn*,201,98,College of the Holy Cross
Joe Holup,198,97,George Washington University
Bob Hopkins,203,92,Grambling State University
Phil Jordon,208,92,Whitworth
Hal Lear,183,73,Temple University
Slick Leonard*,190,83,Indiana University
Johnny McCarthy,185,83,Canisius College
Willie Naulls,198,102,"University of California, Los Angeles"
Jim Paxson,198,90,University of Dayton
Dave Piontek,198,104,Xavier University
Jim Ray,185,81,University of Toledo
Bill Russell*,208,97,University of San Francisco
Ron Shavlik,203,90,North Carolina State University
Ron Sobie,190,83,DePaul University
Norm Stewart,196,92,University of Missouri
Bill Thieben,201,97,Hofstra University
Lou Tsioropoulos,196,86,University of Kentucky
Doug Bolstorff,193,88,University of Minnesota
George Brown,198,86,Wayne State University
Dick Duckett,185,83,St. John's University
Pat Dunn,188,77,Utah State University
Bill Ebben,193,86,University of Detroit Mercy
Bo Erias,190,99,Niagara University
Larry Friend,193,83,University of California
Hot Rod,193,83,
McCoy Ingram,203,95,Jackson State University
Sam Jones*,193,89,North Carolina Central University
Jim Krebs,203,104,Southern Methodist University
Brendan McCann,188,80,St. Bonaventure University
Worthy Patterson,188,79,University of Connecticut
Jerry Paulson,188,83,Manhattan College
Ray Radziszewski,196,95,Saint Joseph's University
Lennie Rosenbluth,193,86,University of North Carolina
Woody Sauldsberry,201,99,Texas Southern University
Guy Sparrow,198,98,University of Detroit Mercy
Charlie Tyra,203,104,University of Louisville
Jim Walsh,193,88,Stanford University
Win Wilfong,188,83,University of Memphis
Elgin Baylor*,196,102,Seattle University
Jerry Bird,198,95,University of Kentucky
Bucky Bockhorn,193,90,University of Dayton
Pete Brennan,198,92,University of North Carolina
Barney Cable,201,79,Bradley University
Archie Dees,203,92,Indiana University
Connie Dierking,206,100,University of Cincinnati
Boo Ellis,196,83,Niagara University
Wayne Embry*,203,108,Miami University
Mike Farmer,201,95,University of San Francisco
Dave Gambee,198,97,Oregon State University
Hal Greer*,188,79,Marshall University
Steve Hamilton,198,86,Morehead State University
Vern Hatton,190,88,University of Kentucky
Andy Johnson,196,97,University of Portland
K.C. Jones*,196,97,
Tommy Kearns,180,83,University of North Carolina
Shellie McMillon,196,92,Bradley University
Jim Palmer,203,101,University of Dayton
Jack Parr,206,99,Kansas State University
Hub Reed,206,97,Oklahoma City University
Guy Rodgers*,183,83,Temple University
Phil Rollins,188,83,University of Louisville
Larry Staverman,201,92,Thomas More College
Bennie Swain,203,99,Texas Southern University
Gary Alcorn,206,102,"California State University, Fresno"
Bob Anderegg,190,90,Michigan State University
Dick Barnett,193,86,Tennessee State University
Whitey Bell,183,81,North Carolina State University
Wilt Chamberlain*,216,124,University of Kansas
Bob Ferry,203,104,Saint Louis University
Johnny Green,196,90,Michigan State University
Gene Guarilia,196,99,George Washington University
Tom Hawkins,196,95,University of Notre Dame
Bailey Howell*,201,95,Mississippi State University
Maury King,188,88,University of Kansas
Rudy LaRusso,201,99,Dartmouth College
Nick Mantis,190,86,Northwestern University
Cal Ramsey,193,90,New York University
John Richter,206,102,North Carolina State University
Joe Ruklick,206,99,Northwestern University
Bobby Smith,193,86,West Virginia University
Wayne Stevens,190,83,University of Cincinnati
Tony Windis,185,72,University of Wyoming
Al Attles,183,79,North Carolina Agricultural and Technical State University
Bob Boozer,203,97,Kansas State University
Dave Budd,198,92,Wake Forest University
Ralph Davis,193,81,University of Cincinnati
Swede Halbrook,221,106,Oregon State University
Darrall Imhoff,208,99,University of California
Ron Johnson,203,97,University of Minnesota
Howie Jolliff,203,97,
Willie Jones,190,83,Northwestern University
Pickles Kennedy,180,81,Temple University
Fred LaCour,196,95,University of San Francisco
George Lee,193,90,University of Michigan
Bob McNeill,185,77,Saint Joseph's University
Jackie Moreland,201,97,Louisiana Tech University
Don Ohl,190,86,University of Illinois at Urbana-Champaign
Joe Roberts,198,97,Ohio State University
Oscar Robertson*,196,92,University of Cincinnati
Tom Sanders*,198,95,New York University
Jerry West*,188,79,West Virginia University
Lenny Wilkens*,185,81,Providence College
Stacey Arceneaux,193,95,Iowa State University
Walt Bellamy*,211,102,Indiana University
George Blaney,185,79,College of the Holy Cross
George Bon,185,79,
Joe Buckhalter,201,95,Tennessee State University
Cleveland Buckner,206,95,Jackson State University
Ed Burton,198,102,Michigan State University
Donnie Butcher,188,90,Pikeville College
Al Butler,188,79,Niagara University
Howie Carl,175,72,DePaul University
Jimmy Darrow,178,77,Bowling Green State University
Johnny Egan,180,81,Providence College
Rich Eichhorst,180,81,
Cleo Hill,185,83,Winston-Salem State University
Ron Horn,201,99,Indiana University
Doug Kistler,206,95,Duke University
York Larese,193,83,University of North Carolina
Ted Luckenbill,198,92,University of Houston
Whitey Martin,188,83,St. Bonaventure University
Tom Meschery,198,97,Saint Mary's College of California
Paul Neumann,185,79,Stanford University
Bevo Nordmann,208,102,Saint Louis University
Chuck Osborne,198,95,Western Kentucky University
Gary Phillips,190,85,University of Houston
Frank Radovich,203,106,Indiana University
Ray Scott,206,97,University of Portland
Lee Shaffer,201,99,University of North Carolina
Bob Sims,196,99,Pepperdine University
Adrian Smith,185,81,University of Kentucky
Bill Smith,196,86,Saint Peter's College
Sam Stith,188,83,St. Bonaventure University
Horace Walker,190,95,Michigan State University
Bob Wiesenhahn,193,97,University of Cincinnati
Wayne Yates,203,106,University of Memphis
Dave Zeller,185,79,Miami University
John Barnhill,185,81,Tennessee State University
Zelmo Beaty*,206,102,Prairie View A&M University
Bill Bridges,198,103,University of Kansas
Len Chappell,203,108,Wake Forest University
Johnny Cox,193,81,University of Kentucky
Dave DeBusschere*,198,99,University of Detroit Mercy
Terry Dischinger,201,85,Purdue University
Danny Doyle,203,90,Belmont Abbey College
Bob Duffy,193,79,Tulane University
Leroy Ellis,208,95,St. John's University
Dave Fedor,198,86,Florida State University
Jack Foley,190,77,College of the Holy Cross
Dave Gunther,201,86,University of Iowa
Charlie Hardnett,203,102,Grambling State University
John Havlicek*,196,92,Ohio State University
Wayne Hightower,203,87,University of Kansas
Paul Hogue,203,87,
Kevin Loughery,190,86,St. John's University
Bill McGill,206,102,University of Utah
Porter Meriwether,188,81,Tennessee State University
Howie Montgomery,196,99,University of Texas-Pan American
Don Nelson*,198,95,University of Iowa
Mel Nowell,188,77,Ohio State University
Bud Olsen,203,99,University of Louisville
John Rudometkin,198,92,University of Southern California
Jeff Slade,198,99,Kenyon College
Tom Stith,196,95,St. Bonaventure University
Dan Swartz,193,97,Morehead State University
Dan Tieman,183,83,Thomas More College
Gene Tormohlen,183,83,
Chico Vaughn,188,86,Southern Illinois University
Chet Walker*,198,96,Bradley University
Ben Warley,196,90,Tennessee State University
Ralph Wells,185,81,Northwestern University
Hubie White,193,92,Villanova University
Gene Wiley,208,95,Wichita State University
