Year,Player,Pos,Age,Tm
1953,Jim Brasco,G,21,MLH
1953,Carl Braun,SG,25,NYK
1953,Frankie Brian,SG,29,FTW
1953,Dick Bunt,PG,22,TOT
1953,Dick Bunt,PG,22,NYK
1953,Dick Bunt,PG,22,BLB
1953,Bill Calhoun,SF,25,TOT
1953,Bill Calhoun,F-G,25,SYR
1953,Bill Calhoun,SF,25,MLH
1953,Al Cervi*,PG,35,SYR
1953,Cal Christensen,SF,25,ROC
1953,Nat Clifton*,PF,30,NYK
1953,Jack Coleman,PF,28,ROC
1953,Gene Conley,PF,22,BOS
1953,Chuck Cooper,SF,26,BOS
1953,Ray Corley,G,25,FTW
1953,Bob Cousy*,PG,24,BOS
1953,Dillard Crocker,PF,28,MLH
1953,Pete Darcey,C,22,MLH
1953,Bob Davies*,PG,33,ROC
1953,Blaine Denning,G,22,BLB
1953,Bob Donham,SG,26,BOS
1953,Dike Eddleman,SF,30,FTW
1953,George Feigenbaum,PG,23,MLH
1953,Jake Fendley,PG,23,FTW
1953,Danny Finn,SG,24,PHW
1953,Jerry Fleishman,SG,30,PHW
1953,Larry Foust,C,24,FTW
1953,Joe Fulks*,PF,31,PHW
1953,Bill Gabor,SG,30,SYR
1953,Harry Gallatin*,PF,25,NYK
1953,Joe Graboski,C,23,INO
1953,Dick Groat,PG,22,FTW
1953,Alex Hannum*,PF,29,ROC
1953,Don Hanrahan,F,23,INO
1953,Bob Harris,SF,25,BOS
1953,Bob Harrison,SG,25,MNL
1953,Don Henriksen,C,23,BLB
1953,Kleggie Hermsen,C-F,29,TOT
1953,Kleggie Hermsen,C-F,29,BOS
1953,Kleggie Hermsen,C-F,29,INO
1953,Lew Hitch,PF,23,MNL
1953,Paul Hoffman,SG,27,BLB
1953,Jim Holstein,SF,22,MNL
1953,Red Holzman*,PG,32,ROC
1953,Mel Hutchins,C,24,MLH
1953,Arnie Johnson,SF,32,ROC
1953,Ralph Johnson,PG,31,FTW
1953,Neil Johnston*,C,23,PHW
1953,Noble Jorgensen,C,27,SYR
1953,George Kaftan,SF,24,BLB
1953,Jack Kerris,PF,28,TOT
1953,Jack Kerris,F-C,28,FTW
1953,Jack Kerris,PF,28,BLB
1953,Jack Kiley,SG,24,FTW
1953,George King,PG,24,SYR
1953,Frank Kudelka,SG,27,TOT
1953,Frank Kudelka,G-F,27,BLB
1953,Frank Kudelka,SG,27,PHW
1953,Bob Lavoy,PF,26,INO
1953,Andrew Levane,SG,32,MLH
1953,Earl Lloyd*,SF,24,SYR
1953,Bob Lochmueller,SF,25,SYR
1953,Don Lofgran,SF,24,PHW
1953,Ray Lumpp,PG,29,TOT
1953,Ray Lumpp,G,29,NYK
1953,Ray Lumpp,PG,29,BLB
